,name,categories,lat,lng,groupby
0,Lee Kong Chian Natural History Museum,Museum,1.3015605469139861,103.7733301965391,Misc.
1,황 Hwang's,Korean Restaurant,1.3040360480092443,103.7739415224471,Restaurant
2,NUS Sports & Recreational Centre,Gym / Fitness Center,1.2998288810609069,103.77570759640902,Misc.
3,Subway,Sandwich Place,1.3036461524147749,103.7741415234617,Misc.
4,THE ROYALS BISTRO,Bistro,1.3036676472627884,103.77414603959693,Bars
5,NUS Tennis Courts,Other Great Outdoors,1.2988916720931492,103.77708263214461,Misc.
6,University Cultural Centre Hall,Concert Hall,1.3015499132528507,103.77254450171465,Misc.
7,Starbucks,Coffee Shop,1.3045383633351844,103.77286393691274,Quick Bite
8,Sapore Italiano,Italian Restaurant,1.3041375300090319,103.7737214584922,Restaurant
9,NUS Museum,Art Gallery,1.3011836157716343,103.77270859603202,Entertainment
10,Bus Stop 16171 (Yusof Ishak House),Bus Station,1.299063381464765,103.77441421878159,Misc.
11,Multi Purpose Sports Hall 1,Athletics & Sports,1.3004551853386848,103.77595236954159,Misc.
12,Foodclique,Food Court,1.3050583370531479,103.7733202508991,Restaurant
13,NUS IT Coop @ YIH,Electronics Store,1.298694,103.77497792243958,Misc.
14,UTown Food Court,Fast Food Restaurant,1.3044046697581326,103.77371249333899,Restaurant
15,Bus Stop 16151 (The Japanese Pr Sch),Bus Station,1.3006699534532633,103.77002410284946,Misc.
16,Kent Vale Swimming Pool,Gym / Fitness Center,1.30297766859703,103.76981409299968,Misc.
