,name,categories,lat,lng,groupby
0,Foodie Market Place,Grocery Store,1.2834363878390533,103.8355276985568,Misc.
1,Tiong Bahru Pau & Snacks,Dim Sum Restaurant,1.2845932413119998,103.8351246497389,Restaurant
2,kiyone+LIM,Nail Salon,1.2808208114296316,103.84093021543094,Misc.
3,The Guild,Gastropub,1.280479151477324,103.8416160503275,Misc.
4,Mad About Sucre,Dessert Shop,1.279782456482369,103.84065810396203,Quick Bite
5,Long Ji Zi Char,Seafood Restaurant,1.2848313554447484,103.83494406938553,Restaurant
6,Dorsett Singapore,Hotel,1.2799241423180172,103.83997857570648,Restaurant
7,Tiong Bahru Galicier Pastry (Galicier Confectionery),Bakery,1.2844510601554746,103.83445735500901,Quick Bite
8,Starbucks,Coffee Shop,1.2791795323175834,103.83540870786229,Quick Bite
9,Cafe Angsana @ NCC,Farmers Market,1.2789920693801835,103.83681348015732,Shop
10,Bus Stop 10018 (Outram Park Stn Exit F/SGH),Bus Station,1.2786755755069814,103.83881523434827,Misc.
