,name,categories,lat,lng,groupby
0,Open Farm Community,Modern European Restaurant,1.3058039703803457,103.81556925487554,Restaurant
1,The Rabbit Hole,Lounge,1.3048098929955054,103.81360257769168,Misc.
2,The White Rabbit,French Restaurant,1.3048336252541477,103.81346833847181,Restaurant
3,ATOUT Restaurant,French Restaurant,1.3057629728523614,103.81354368035781,Restaurant
4,Tanglin Gate | Singapore Botanic Gardens,Park,1.3071308997488138,103.81861209869385,Misc.
5,Jim Thompson,Thai Restaurant,1.3052589496347524,103.8155194713203,Restaurant
6,Heritage Trees Trail,Trail,1.3088583986107258,103.81660251366435,Misc.
7,Long Beach Seafood Restaurant,Seafood Restaurant,1.3063391842358283,103.8120191521043,Restaurant
8,Samy's Curry,Indian Restaurant,1.3062465146717175,103.81181207739495,Restaurant
9,PS.Cafe,Café,1.3045662538017249,103.81107901164047,Misc.
10,Morsels,Gastropub,1.3061601925629447,103.81206750869751,Misc.
11,Tiong Bahru Bakery Safari,Bakery,1.3057980318612823,103.81572016272617,Quick Bite
12,RedDot BrewHouse,Brewery,1.306307055519951,103.81143440863502,Bars
13,Tawandang Microbrewery,Thai Restaurant,1.3056542550733643,103.8114311024556,Restaurant
14,Tree Lizard,Bar,1.306052904832502,103.8122689044232,Bars
15,Canopy Web,Playground,1.308074791459214,103.81497502326964,Misc.
16,Swiss Granite Fountain,Outdoor Sculpture,1.30863254548484,103.81695985794067,Misc.
17,Silver Gates | Singapore Botanic Gardens,Park,1.3086182088270228,103.81761004545935,Misc.
18,MOCA (Museum of Contemporary Arts),Art Museum,1.303439271250137,103.8118024635645,Entertainment
19,SBG Heritage Museum | Holttum Hall,Museum,1.3085907371406023,103.81772903630834,Misc.
20,Bonsai Garden,Garden,1.3099024441865539,103.8163113182821,Misc.
21,Keppel Discovery Wetlands,Lake,1.3098553134915443,103.81393432617188,Misc.
22,Ginger Falls,Park,1.3103058068173286,103.81543636322021,Misc.
23,Frangipani Garden | Singapore Botanic Gardens,Garden,1.310181,103.817007,Misc.
